,bean_country,cocoa_percent,ingredient_combination,memorable_characteristics,rating,total_ingredients
414,Sao Tome and Principe,0.78,BS,burnt up front,2.25,2
415,Venezuela,0.8,BS,"nut,ashy,coffee",3.0,2
416,Ecuador,1.0,B,"fatty,controlled bitter,fruit",3.5,1
417,Multiple Countries,0.7,BS,"oily surface,berry,cream",3.5,2
418,Dominican Republic,0.72,BS,"intense,fatty,brownie",3.0,2
419,Cuba,0.75,BS,"intense,ashy,earth",2.5,2
420,Brazil,0.7,BSC,"dairy,chocolate,mild fruit",3.25,3
421,Venezuela,0.7,BSC,"strong nut , off note",3.0,3
422,Bolivia,0.75,BSC,"sandy,bold,cherry",3.0,3
423,Tanzania,0.73,BSC,"sweet,acidic,fatty",2.75,3
424,Venezuela,0.75,BSC,"nut,burnt,fuel",2.5,3
425,Ecuador,0.55,BSCL,"sandy,sweet,spicy",3.5,4
426,Ecuador,0.55,BSCL,"sticky,sweet,grass",3.25,4
427,Ecuador,0.55,BSCL,"sweet,floral,yogurt",3.0,4
428,Ecuador,0.77,BSCL,"crumbly,cinnamon",2.75,4
429,Ecuador,0.77,BSCL,"perfume,chemical off note",2.5,4
430,Ecuador,0.77,BSCL,"grainy,intense,bitter",2.0,4
431,Papua New Guinea,0.7,BSC,"tart,malt,mild smoke",3.75,3
432,Papua New Guinea,0.7,BSC,"mild smoke,melon",3.5,3
433,Costa Rica,0.72,BS,"fatty,wood,coffee",3.0,2
434,Costa Rica,0.8,BS,"fatty,fruit,muted",2.75,2
435,Guatemala,0.72,BSC,"wood,spicy,tobacco",3.5,3
436,Costa Rica,0.72,BS,"acidic,astringent,spicy",3.5,2
437,Costa Rica,0.72,BS,"floral,earth,acidic",3.25,2
438,Colombia,0.65,BSC,"overly sweet,mild spice",3.5,3
439,Colombia,0.65,BSC,"sweet,grass,nut",3.5,3
440,Colombia,0.65,BSC,"nut,grainy,late chocolate",3.25,3
441,Colombia,0.65,BSC,"mild smoke,sweet edge",3.25,3
442,Colombia,0.65,BSC,"sweet,marshmallow",3.0,3
443,Multiple Countries,0.75,BS,"off note,vanilla",2.0,2
444,Brazil,0.65,BS,"molasses,rich,vegetal",3.25,2
445,Brazil,0.71,BS,"sandy,intense,sweet,rich",3.0,2
446,Dominican Republic,0.73,BS,"sandy,mild intense,fruit",3.5,2
447,Venezuela,0.7,BSC,"sandy,nut,cocoa",3.25,3
448,Nicaragua,0.72,BSC,"sandy,molasses,spice",3.25,3
449,Bolivia,0.7,BSC,"sandy,tobacco,molasses",3.0,3
450,Venezuela,0.72,BSC,"mild metal,spice",3.0,3
451,Peru,0.7,BSC,"molasses,cocoa",2.75,3
452,Peru,0.7,BSC,"sandy,fruit,acidic,metal",2.5,3
453,Colombia,0.72,BSC,"caramel,molasses,fruit",3.5,3
454,Colombia,0.76,BSC,"caramel,sweet,delicate",3.5,3
455,Dominican Republic,0.7,BSC,"soap,earth",2.75,3
456,Dominican Republic,0.7,BSC,"medium roast,grass,dried fruit",3.75,3
457,Honduras,0.72,BSC,"roast,black pepper,nut",3.5,3
458,Venezuela,0.72,BSC,"nut,floral,roast",3.5,3
459,Belize,0.72,BSC,"bright fruit,molasses,nut",4.0,3
460,Venezuela,0.7,BS,"nut,roast,caramel",3.25,2
461,Mexico,0.7,BSC,"smooth,caramel,dried fruit",3.75,3
462,Puerto Rico (United States Territory),0.7,BSC,"smooth,mellow,floral",3.5,3
463,Bolivia,0.7,BSC,"creamy,wood,slight cherry",3.0,3
464,Peru,0.7,BSC,"mild fruit,off note",2.75,3
465,Venezuela,0.7,BSC,"nut,roast,smoke",2.75,3
466,Ecuador,0.7,BSC,"burnt rubber,leather",2.5,3
468,Uganda,0.7,BSC,"sandy,roast,coffee",2.75,3
469,Bolivia,0.74,BS,"dark roast,rich cocoa",3.0,2
470,Venezuela,0.68,BSC,"butter,roast,cocoa,nut",3.5,3
471,Belize,0.7,BSC,"slight metal,wood,berry",3.25,3
472,Ecuador,0.75,BSC,"dry,sandy,cocoa",3.0,3
473,Ecuador,0.55,BSC,"very sweet,very spice",2.75,3
474,Costa Rica,0.7,BSC,"green,leafy",3.5,3
475,Peru,0.72,BSC,"spicy,chocolate,atypical",3.0,3
476,Ecuador,0.72,BSC,"slight chalky,floral,pure",3.5,3
478,Ecuador,0.7,BSC,"floral,earth",3.25,3
479,Belize,0.82,BS,"powdery,bland,mild chocolate",3.25,2
480,Belize,0.75,BS,"bland,mild chocolate , leather",3.0,2
481,Malaysia,0.7,BS,"high roast,banana raspberry",3.5,2
482,Vietnam,0.7,BS,"roast,sour milk,off note",2.75,2
483,Dominican Republic,0.71,BSC,"chunky,spicy,rubber",3.25,3
484,Nicaragua,0.72,BSC,"grass,rubber",2.5,3
485,Peru,0.65,BS,"flat,floral,medicinal",2.75,2
486,Peru,0.65,BS,"flat,metal,floral",2.5,2
487,Dominican Republic,0.8,BS,"spicy,earth off note",2.5,2
488,Madagascar,0.74,BS,"sugar dominant,molasses",3.0,2
489,Madagascar,0.7,BS,"mild,fruit then nut",3.75,2
490,Venezuela,0.68,BS,"mild,earth,grass",3.75,2
491,Peru,0.9,BS*,"sticky,bitter,molasses,tart",2.5,2
492,Multiple Countries,0.8,BS*,"sticky,coconut,sour,bitter",2.5,2
493,Ecuador,0.7,BS,"molasses,tart,floral",3.25,2
494,Dominican Republic,0.6,BS,"gritty,sweet,molasses",3.0,2
495,Dominican Republic,0.75,BS,"sandy,rich,roast,earth",3.0,2
496,Venezuela,0.8,BS,"gritty,nut,caramel",3.0,2
497,Uganda,0.7,BS,"roast,cocoa,molasses",2.75,2
498,Nicaragua,0.8,BS,"nut,roast,bitter",2.75,2
499,Bolivia,0.7,BS,"gritty,molasses,earth",2.5,2
500,Peru,0.74,BS*C,"unrefined,odd,vegetal",2.75,3
501,Peru,0.8,BSC,"nut,coffee,peanut butter",3.75,3
502,Republic of the Congo,0.68,BSC,"bold,rich cocoa,coffee",3.5,3
503,Dominican Republic,0.75,BSC,"earth,coffee,mild,tang",3.25,3
504,Madagascar,0.72,BSC,"tart,bright fruit,sour coffee",3.25,3
505,Peru,0.68,BSC,"sandy,sweet,cocoa",2.75,3
506,Ecuador,0.82,BSC,"sandy,fruit,burnt",2.5,3
507,Peru,0.7,BS,"intense orange,floral note",3.75,2
508,Peru,0.69,BSC,"floral,orange,cocoa",3.75,3
509,Venezuela,0.8,BS,"mild bitter,fruit,spice",3.75,2
510,Dominican Republic,0.72,BSC,"spicy,banana",3.25,3
511,India,0.7,BSC,"nut,honey,grass",3.0,3
512,Mexico,0.7,BSCV,"fatty,vanilla,mass market",2.5,4
513,Guatemala,0.76,BS,"high astringent,fruit,roast",2.75,2
514,Peru,0.7,BS,"sandy,sweet",2.75,2
515,India,0.63,BSC,"sandy,tart,ham,sweet",2.5,3
518,Mexico,0.75,BSC,"grainy,sweet,whole bean",3.25,3
519,Multiple Countries,0.7,BSCL,"sweet,marshmallow",3.0,4
520,Ecuador,0.71,BSCL,"earth,floral,mild bitter",2.5,4
521,Grenada,0.71,BSCL,"sweet,cardboard",2.5,4
522,Venezuela,0.71,BSCL,"long lasting,cocoa base",3.5,4
523,Multiple Countries,0.6,BSCL,"chewy,fudge,perfume",3.25,4
524,Multiple Countries,0.75,BSCL,"oily,grass,mint",3.25,4
525,Madagascar,0.71,BSCL,"spice,cocoa",3.5,4
526,Mexico,0.71,BSCL,"earth,sweet",3.25,4
527,Mexico,0.65,BS,"coarse,sweet,sour,leather",2.5,2
528,Mexico,0.75,BS,"gritty,mild bitter,off note",2.5,2
529,Brazil,0.7,BSCV,"oily,muted,fruit",3.0,4
530,Brazil,0.8,BSCV,"roast,tart,slight burnt",3.0,4
531,Venezuela,0.7,BSCV,"slow,fatty,subdued,nut",3.0,4
532,Mexico,0.7,BSCV,"fatty,cigarette butt,coffee",2.75,4
533,Venezuela,0.8,BSCV,"dry,ashy,medicinal",2.5,4
534,Madagascar,0.67,BS,"cherry,perfect balanced roast",4.0,2
535,Venezuela,0.75,BS,"mild lemon,cocoa,crisp nibs",3.75,2
536,Belize,0.7,BS,"fruit,honey,cocoa,roast",3.75,2
537,Guatemala,0.7,BS,"rich,raisin,molasses",3.5,2
538,Martinique (French Territory),0.42,BSVL,"gritty,sweet,hot cocoa",2.75,4
539,Peru,0.7,BS,"sweet,sandy,spicy",2.75,2
540,Peru,0.75,BSC,"bold,spice,hint of anise",3.75,3
541,Brazil,0.7,BSC,"creamy,dried fruit,nut",4.0,3
542,Dominican Republic,0.72,BSC,"smooth,spicy,cocoa",3.75,3
543,Ecuador,0.73,BSC,"rich cocoa,floral,acidic",3.5,3
544,Tanzania,0.72,BSC,"basic cocoa,mild fruit,sweet",3.5,3
545,Costa Rica,0.7,BSC,"cocoa,wood,basic",3.25,3
546,Vietnam,0.72,BSC,"roast,ham,nut",3.0,3
548,Venezuela,0.61,BSCVL,"sweet,peanut butter",3.0,5
549,Venezuela,0.77,BSC,"red berry,bitter,roast,sour",2.75,3
550,Multiple Countries,0.75,BSC,"dry,sandy,cocoa,coffee",3.75,3
551,Multiple Countries,0.8,BSC,"bitter,light lime,sour",3.0,3
553,Multiple Countries,0.735,BS,"short,mild cocoa,mild fruit",3.75,2
554,Ecuador,0.73,BS,"creamy,floral,bourbon",3.5,2
555,Peru,0.7,BSC,"balanced,anise,creamy",3.5,3
556,Saint Lucia,0.7,BSCV,"raw,dirt,metal,dry",2.25,4
562,Ecuador,0.76,BS,"bold,roast,sticky,brownie",3.5,2
563,Vietnam,0.78,BS,"wood,nut,off sour note",2.75,2
564,Madagascar,0.72,BSC,"creamy,woodsy,cocoa",3.0,3
565,Mexico,0.72,BSC,"intense,tang,berry,sour",3.0,3
566,Venezuela,0.72,BSC,"lemon,sour,slight metal",3.0,3
567,Venezuela,0.7,BSC,"dark berry,wine",3.75,3
568,Venezuela,0.7,BSC,"slow,less intense berry,nut",3.5,3
569,Peru,0.62,BSC,"woodsy,nut",3.25,3
570,Peru,0.72,BSC,"creamy,butter,nondescript",3.0,3
571,Grenada,0.72,BSC,"coffee,cocoa",3.25,3
572,Jamaica,0.72,BSC,"oily,fatty,rum",3.25,3
573,Venezuela,0.72,BSC,"oily,coffee",3.25,3
574,Venezuela,0.7,BSC,"fruit,bland",3.0,3
575,Trinidad and Tobago,0.72,BSC,"dry,spicy,wood",3.0,3
576,Ecuador,0.72,BSC,"harsh aroma,melon floral,off",2.5,3
577,Multiple Countries,0.72,BSC,"creamy,nut,cocoa",3.75,3
578,Ghana,0.85,BSC,"silky,mint",3.5,3
579,Madagascar,0.7,BSC,"sandy,sweet,tart red berry",3.5,3
581,Ecuador,0.65,BSCL,"oily,fragrant,spicy",3.25,4
582,Ghana,0.75,BSC,"oily,rich cocoa,nut",3.75,3
584,Papua New Guinea,0.75,BSC,"sandy,sweet,nut",3.5,3
585,Tanzania,0.75,BSC,"spice,roast,off fatty note",3.25,3
586,Brazil,0.65,BSC,"sandy,sweet,smoke",3.25,3
587,Fiji,0.67,BSC,"acidic,sweet,cucumber",3.25,3
588,Vanuatu,0.64,BSC,"sandy,sweet,spicy,roast",3.25,3
589,Vanuatu,0.83,BSC,banana nut,2.75,3
590,Papua New Guinea,0.7,BSC,"true to sugar,molasses",2.5,3
591,Ecuador,0.73,BSC,"creamy,complex,fruit",3.75,3
592,Ecuador,0.85,BSC,"oily,mild bitter,nut,fruit",3.25,3
593,Honduras,0.7,BS,"banana,spicy,grass",3.5,2
594,Dominican Republic,0.7,BS,"deep cherry,earth,rubber",3.25,2
595,Colombia,0.7,BS,"nut,citrus",3.25,2
596,Ecuador,0.7,BS,"bold,black tea,floral,banana",3.25,2
597,Haiti,0.7,BSC,rich malt,3.5,3
598,Belize,0.75,BSC,"raspberry,cocoa",3.5,3
599,Guatemala,0.7,BSC,"sandy,sweet,basic cocoa base",3.25,3
600,Mexico,0.7,BSC,"raisin,honey,molasses",3.5,3
601,Australia,0.7,BSCVL,"vanilla,banana,citrus",3.25,5
602,Australia,0.7,BSC,"sandy,like candy vanilla,off",2.75,3
603,Dominican Republic,0.72,BS,"ham,sour,astringent",2.75,2
604,Ecuador,0.7,BSC,"floral,banana",3.5,3
605,Trinidad and Tobago,0.7,BSC,"floral,sour,synthetic,off",3.0,3
606,Nicaragua,0.7,BSC,"oily,grape,pungent",2.75,3
607,Grenada,0.7,BSC,"off,pungent,intense",2.25,3
608,Multiple Countries,0.65,BSCL,"sweet,vinegar",2.5,4
609,Dominican Republic,0.7,BS,"spicy,fudge",3.75,2
610,Colombia,0.7,BS,"grass,green,candy spice",3.25,2
611,Costa Rica,0.7,BS,"dried fruit,tannic",3.0,2
612,Venezuela,0.7,BS,"roast,oreo shell,coffee",3.5,2
613,Papua New Guinea,0.7,BS,"mild smoke,raspberry,cocoa",3.5,2
614,Venezuela,0.7,BS,"licorice,sour,rich cocoa",3.25,2
615,Venezuela,0.7,BS,"acidic,sour,cocoa",2.75,2
616,Dominican Republic,0.7,BS,"cherry,rich chocolate",3.75,2
617,Belize,0.7,BS,"heavy roast,blackberry",3.5,2
618,Ecuador,0.7,BS,"gummy,nut,bourbon",3.5,2
619,Liberia,0.7,BS,"roast,spicy,nut",2.75,2
620,Belize,0.7,BS,"intense,roast,coffee,raisin",3.0,2
621,Dominican Republic,0.7,BS,"cherry,rich chocolate",3.75,2
622,Costa Rica,0.7,BS,"cocoa,sour,toffee,earth",3.0,2
623,India,0.7,BS,"ripe orange,citrus",3.5,2
624,Honduras,0.7,BS,"nut,moderate acidity",3.25,2
625,Sierra Leone,0.7,BS,"vegetal,high astringent",3.0,2
626,Vietnam,0.7,BS,"green apple,sticky",3.5,2
627,Dominican Republic,0.7,BS,"grass,fruit,brownie",3.25,2
628,Madagascar,0.7,BS,"brownie,red berry",3.25,2
629,Tanzania,0.7,BS,cocoa flavor dominant,3.25,2
630,Guatemala,0.6,BSCV,"wood,holiday spice,soap",3.25,4
631,Guatemala,0.75,BSCV,"dark wood,plum,astringent",3.0,4
632,Guatemala,0.6,BSCV,"oily,dried fruit,vanilla",3.5,4
633,Guatemala,0.7,BS,"sweet spice,floral",4.0,2
634,Guatemala,0.7,BS,spicy,3.75,2
635,Madagascar,0.7,BS,"oily,toffee,hint of fruit",3.75,2
636,Guatemala,0.7,BS,"nut,ashy,spicy pepper",3.25,2
637,Venezuela,0.75,BSCV,"gummy,fatty,caramel",3.0,4
638,Guatemala,0.82,BSCV,"fatty,sunflower,peanut butter",3.25,4
639,Multiple Countries,0.7,BS,"floral,licorice,roast",3.25,2
640,Vietnam,0.72,BS,"raisin,astringent",3.0,2
641,Venezuela,0.72,BS,"nut,tobacco,burnt,off note",2.75,2
642,Vietnam,0.7,BSCL,"muted,creamy,basic cocoa",3.25,4
643,Peru,0.72,BSCL,"muted,creamy,grape,fatty",3.0,4
644,Venezuela,0.7,BSC,"roast,nut,sweet",3.25,3
645,Ecuador,0.7,BSC,"bold,floral,rum",3.25,3
646,Madagascar,0.7,BSC,"sweet,strong sour,acidic",3.0,3
647,Tanzania,0.7,BSC,"intense,sweet,brownie",3.0,3
648,Bolivia,0.75,BSC,"mild cherry,fatty",3.25,3
649,Multiple Countries,0.58,BSCL,"nice melt,odd rubber note",3.25,4
650,Dominican Republic,0.7,BSCL,"chalky,vanilla,caramel",2.75,4
651,Venezuela,0.7,BSCL,"fatty,powdery,nut,slight burnt",2.75,4
652,Ghana,0.7,BSCL,"vanilla,fatty,basic cocoa",2.5,4
653,Brazil,0.72,BSC,"texture issues,brownie",3.5,3
654,Brazil,0.65,BSC,"one dimensional,brownie",3.5,3
655,Madagascar,0.7,BSC,"high roast,fruit",3.0,3
656,Uganda,0.7,BSC,"high roast,intense,fatty",2.5,3
657,Costa Rica,0.64,BSCV,"dark coffee,cocoa",3.0,4
658,Ecuador,0.71,BSCV,"cinnamon,nutmeg,coffee",3.0,4
659,Ghana,0.6,BSCV,"nut,simple,sweet",3.0,4
660,Papua New Guinea,0.64,BSCV,"waxy,tobacco,smoke",3.0,4
661,Peru,0.64,BSCV,"mild mint,basic cocoa",3.0,4
662,Madagascar,0.66,BSCV,"sandy,cloying,rich cocoa",2.5,4
663,Venezuela,0.66,BSCV,"fatty,rich cocoa,roast",3.75,4
664,Papua New Guinea,0.64,BSCV,"smoke,chalky,berry,caramel",3.0,4
665,Dominican Republic,0.8,BS,"mild bitter,fatty,grass",3.0,2
666,Dominican Republic,0.7,BS,"dirt,floral,unrefined",2.6,2
667,Dominican Republic,0.7,BS,"metal,dirt, earth",2.5,2
668,Tanzania,0.72,BS,"vanilla,chemical,rubber",2.5,2
669,Guatemala,0.72,BS,"smoke,roast,acidic,rich",3.0,2
670,Costa Rica,0.77,BS,"red berry,lingering coffee",3.5,2
671,Dominican Republic,0.77,BS,"sticky,woodsy,rum",3.5,2
672,Bolivia,0.8,BS,"intense fruit,bitter end",2.75,2
673,Ecuador,0.7,BS,"grass,tea,late sour",3.25,2
674,Dominican Republic,0.74,BS,"earth,tart,sour",3.0,2
675,Madagascar,0.8,BS,"sandy,flat,hint of berry",2.75,2
676,Venezuela,0.75,BS,"sticky,very roast,nut",2.75,2
677,Bolivia,0.75,BS,"dry,mint,medicinal",2.75,2
678,Ecuador,0.76,BS,"butter,floral,rum",3.5,2
679,Ecuador,0.7,BS,"oily,black pepper,roast",3.25,2
680,Dominican Republic,0.74,BS,"mild fruit,spice,roast",3.5,2
681,Bolivia,0.7,BS,"sticky,rich,cherry",3.75,2
682,Vietnam,0.78,BS,"tropical berry,intense",3.5,2
683,Solomon Islands,0.72,BS,"well defined,creamy,cherry",4.0,2
684,Guatemala,0.7,BS,"blackberry,raisin",3.75,2
685,Brazil,0.75,BS,"sticky,roasted nibs,grape",3.75,2
686,Fiji,0.8,BS,"cocoa,tea,malt",3.75,2
687,Belize,0.72,BS,"creamy,sticky,dried fruit",4.0,2
688,Madagascar,0.72,BS,"sticky,dried fruit,toast,cocoa",3.75,2
689,Multiple Countries,0.73,BS,"burnt honey,earth",3.5,2
690,Sao Tome and Principe,0.65,BSCL,"complex,sweet,sour,grass",3.0,4
691,Sao Tome and Principe,0.75,BSCL,"bland,fatty,fruit",3.0,4
692,Sao Tome and Principe,0.7,BSCL,"cocoa,raw,dirt,chemical",2.75,4
693,Sao Tome and Principe,0.75,BSCL,"late cocoa,harsh,off note",2.5,4
694,Nicaragua,0.72,BSC,"nut,caramel,toffee",3.5,3
695,Panama,0.72,BSC,"mild cherry,earth",3.25,3
696,Venezuela,0.72,BSC,"fatty,raisin,nut",3.25,3
697,Venezuela,0.85,BSC,"intense,spicy,floral",3.0,3
699,Multiple Countries,0.7,BSL,"acidic,astringent,unpleasant",1.5,3
700,Multiple Countries,0.88,BSL,"sticky,floral",3.0,3
701,Venezuela,0.7,BS,"creamy,basic cocoa",3.5,2
702,Peru,0.7,BS,"floral,olive",3.25,2
703,Venezuela,0.7,BS,"long lasting,fruit",3.0,2
704,Venezuela,0.7,BS,"creamy,complex,coffee",4.0,2
705,Ecuador,0.7,BS,"creamy,nut,wood,cocoa",4.0,2
706,Venezuela,0.7,BS,"creamy,mint,tobacco,olive",4.0,2
707,Indonesia,0.7,BS,"creamy,smoke,tobacco",3.75,2
708,Madagascar,0.7,BS,"fruit,basic cocoa",3.5,2
709,Madagascar,0.7,BS,"smooth,banana,cocoa",3.5,2
710,Venezuela,0.75,BS,"sticky,smoke,ham,earth",3.25,2
711,Venezuela,0.6,BS,"mild spice,licorice",3.25,2
712,Multiple Countries,0.7,BS,"sticky,olive",3.75,2
713,Multiple Countries,0.78,BS,"sticky,grass,coffee",3.5,2
714,Venezuela,0.7,BS,"cucumber,hot spice",3.0,2
715,Colombia,0.7,BS,"creamy,wood,earth",3.0,2
716,Venezuela,0.7,BS,"subtle,caramel,sour milk",3.0,2
717,Venezuela,0.7,BS,"smooth,intense,smoke,nut",3.5,2
718,Venezuela,0.7,BS,"creamy,coffee,caramel",3.75,2
719,Tanzania,0.7,BS,"sticky,nut",3.5,2
721,Ecuador,0.7,BS,"floral,well developed,creamy",3.75,2
722,Venezuela,0.7,BS,"nut,strawberry,creamy",3.75,2
723,Tanzania,0.7,BS,"creamy,sticky,fruit",4.0,2
724,Colombia,0.8,BSC,"bitter,molasses,marshmallow",2.75,3
725,Madagascar,0.77,BSC,"fruit,molasses",2.75,3
726,Venezuela,0.7,BSC,"burnt rubber,molasses",2.5,3
727,Grenada,0.75,BS*C,"licorice,molasses,rubber",2.75,3
728,Guatemala,0.72,BS*C,"near perfect shine,cocoa",3.5,3
729,Peru,0.8,BS*,"molasses,fruit",3.5,2
730,Philippines,0.715,BS*C,molasses note from sugar,2.75,3
731,Dominican Republic,0.75,BS,"dry,cocoa,grass,spicy",3.0,2
732,Tanzania,0.7,BS,"dry,sour,sweet,mild fruit",2.75,2
733,Dominican Republic,0.75,BS,"dry,earth,walnut",2.5,2
734,Ecuador,0.72,BSC,"rich cocoa,fruit,strong floral",3.75,3
735,Peru,0.7,BSC,"dark forest berry,spice",3.75,3
736,Panama,0.7,BSC,"caramel,cocoa",3.5,3
737,Ecuador,0.7,BSC,"chalky,bread,dirt",2.5,3
738,Honduras,0.72,BSC,"dried fruit,grape,sour",3.75,3
739,Dominican Republic,0.65,BSC,"heavy roast,wood,berry",3.5,3
740,Venezuela,0.71,BSC,intense cocoa,3.5,3
741,Nicaragua,0.71,BSC,"intense,almond,coffee",3.25,3
742,Panama,0.72,BSC,"licorice,leather",3.0,3
743,Venezuela,0.72,BSC,"creamy,nut",3.75,3
744,Nicaragua,0.76,BSCL,"black pepper,rich,intense",3.75,4
745,Nicaragua,0.7,BSCL,"sandy,full bodied,spicy",3.5,4
746,Guatemala,0.7,BSCL,"intense,spicy,butterscotch",4.0,4
747,Nigeria,0.7,BSCL,like candy off flavor,2.75,4
748,Guatemala,0.8,BSCL,"intense earth,cocoa,roast",3.25,4
749,Philippines,0.7,BSCL,"cocoa,honey,watery,sweet",3.5,4
750,Dominican Republic,0.7,BS,"coarse,earth,mild banana",3.25,2
752,Ecuador,0.7,BSC,"blackberry,cinnamon",4.0,3
753,Peru,0.7,BSC,"sandy,orange,butterscotch",3.5,3
754,Venezuela,0.7,BSC,"fatty,roast,intense brownie",3.5,3
755,Dominican Republic,0.7,BSC,"dates,acidic,rich cocoa",3.25,3
756,Venezuela,0.7,BSC,"cherry,earth,tobacco",3.25,3
757,Peru,0.7,BSC,"smooth,dense,grape",4.0,3
758,Dominican Republic,0.7,BSC,"spicy,cocoa",3.75,3
759,Madagascar,0.7,BSC,ultra fruit,3.5,3
760,Peru,0.7,BSC,"waxy,spicy,tobacco",3.25,3
761,Colombia,0.7,BSC,"dried fruit,strong floral",3.25,3
762,Colombia,0.7,BSC,"mild,dried fruit,chocolate",3.25,3
763,Peru,0.72,BSC,"butter,burlap",2.75,3
764,Peru,0.8,BS,"nut,almond butter",3.5,2
765,Venezuela,0.68,BS,"dry,gritty,cardboard,nut",3.0,2
766,Madagascar,0.7,BS,"molasses,red fruit,astringent",3.0,2
767,Colombia,0.7,BS,"cocoa,spice,alcohol,dirt",3.0,2
768,Bolivia,0.71,BSCL,"lemon,tart,burnt,chemical",2.75,4
769,Bolivia,0.75,BSCL,"nut,rich,red berry",3.75,4
770,Venezuela,0.7,BSCVL,"gritty,chalky,earth,sour",2.75,5
771,Venezuela,0.61,BSCVL,"muted,cherry,banana",3.0,5
772,Venezuela,0.74,BSCVL,"sandy,banana,sour",2.5,5
773,Venezuela,0.58,BSCVL,"gritty,sweet,banana,smoke",2.5,5
774,Venezuela,0.7,BSCVL,"sandy,bold,cherry,peanut butter",3.0,5
775,Venezuela,0.605,BSCVL,"very sweet,marshmallow",2.75,5
776,Venezuela,0.7,BSCVL,"spicy,caramel,vanilla",3.75,5
777,Guatemala,0.7,BSC,"cocoa,fig note",3.5,3
778,Saint Lucia,0.7,BS,"sandy,tannic,earth",3.25,2
779,Saint Lucia,0.6,BS,"low refinement,too sweet",2.75,2
780,Peru,0.78,BSC,"brownie,nut",3.5,3
781,Venezuela,0.79,BSC,"coarse,wood,roast",3.0,3
782,Haiti,0.7,BS,"simple,mild cocoa,fruit",3.5,2
783,Guatemala,0.7,BS,"spicy,sweet,",3.5,2
784,Madagascar,0.7,BS,"fruit,roast",3.5,2
785,Dominican Republic,0.7,BS,"earth,floral,cocoa",3.25,2
786,Honduras,0.75,BS,"carrots,heavy roast",3.25,2
787,Vietnam,0.72,BS,"intense,brownie,spicy,metal",3.0,2
788,Trinidad and Tobago,0.72,BSC,"muddy,raisin,nut,rubber",3.5,3
789,Tanzania,0.8,BSC,"fruit,dirt",3.0,3
790,Sierra Leone,0.7,BSC,"dirt,earth,burnt,honey",2.5,3
792,Vietnam,0.7,BSC,"spicy,green,long,intense",3.25,3
793,Vietnam,0.74,BSC,"gritty,smoke,wood,blackberry",3.25,3
794,Vietnam,0.8,BSC,"mild bitter,smoke,ham",3.0,3
795,Venezuela,0.72,BSCV,"wood,cocoa",3.0,4
796,Venezuela,0.81,BSCV,"hazelnut,fruit,slight bitter",3.5,4
797,Multiple Countries,0.74,BSCV,"sweet,vanilla,sticky",2.75,4
798,Costa Rica,0.65,BSCV,"sticky,slight plum,medicinal",2.0,4
799,Venezuela,0.7,BSCV,"nut,ginger,off note",2.75,4
800,Multiple Countries,0.62,BSCV,"sweet,vanilla,mild banana",2.75,4
801,Multiple Countries,0.55,BSCV,"gritty,overly sweet,fruit punch",2.5,4
802,Trinidad and Tobago,0.55,BSCV,"grits,very sweet,banana",2.5,4
803,Venezuela,0.7,BSCV,"strong vanilla,strawberry,nut",2.5,4
804,Multiple Countries,0.62,BSCV,"gritty,sweet,vanilla,wood",2.5,4
805,Dominican Republic,0.8,BSC,"coarse,mild bitter,raisin",3.75,3
806,Ecuador,0.8,BSC,"spicy,roast,mild bitter",3.5,3
807,Belize,0.8,BSC,"mild fruit,earth",3.0,3
808,Guatemala,0.8,BSC,prominent plum note,3.5,3
809,Peru,0.73,BSC,dominant by heavy roast,3.0,3
810,Brazil,0.75,BS,"perfume,floral,vanilla",2.75,2
811,Jamaica,0.76,BS,"roast,spicy,nut",3.0,2
812,Belize,0.76,BS,"metal,off note,powdery",2.75,2
813,Venezuela,0.76,BS,"fatty,sandy,nut,off note",2.5,2
814,Bolivia,0.68,BSCVL,"complex,raspberry,cocoa",4.0,5
815,Ecuador,0.72,BSCVL,"fatty,rich,spice,nut",3.5,5
816,Dominican Republic,0.74,BSCVL,"creamy,roast,cocoa",3.0,5
817,Madagascar,0.64,BSCVL,"basic cocoa,short length",3.0,5
818,Venezuela,0.65,BSCVL,"creamy,floral,complex",3.0,5
819,Multiple Countries,0.62,BSCVL,"maltitol,cocoa",2.0,5
820,Grenada,0.58,BSCVL,"spice,marshmallow",3.5,5
821,Dominican Republic,0.7,BSC,"sandy,sweet,mild fruit",3.25,3
822,Dominican Republic,0.8,BSC,"molasses,licorice,bitter",3.0,3
823,Dominican Republic,0.85,BSC,"intense,molasses,bitter",2.5,3
824,Puerto Rico (United States Territory),0.65,BSC,"intense,molasses,sweet",2.25,3
825,Multiple Countries,0.7,BSC,"fruit,cocoa,fatty",3.25,3
826,Mexico,0.7,BSC,"banana,bland,sour,off",3.0,3
827,Honduras,0.7,BSC,"off,ham,roast",2.75,3
828,Colombia,0.7,BSC,"nut,melon,vinegar",2.75,3
829,Vanuatu,0.72,BSCL,"cherry,cocoa,creamy",3.75,4
830,Papua New Guinea,0.72,BSCL,"caramel,acidic,creamy",3.5,4
831,Solomon Islands,0.69,BSCL,"plum,cocoa",3.5,4
832,Philippines,0.73,BSCL,"creamy,honey,mild ham",3.25,4
833,Dominican Republic,0.75,BS,"roast,simple",3.5,2
834,Colombia,0.75,BS,"high acidity,bitter,nut",3.0,2
